,CreditDebitIndicator,Limite_Credito,Perfil,Renda_Mensal,accountID,amount,transactionID,transactionInformation,valueDateTime
0,Credit,100000.0,conservador,5000.0,00711234511,4225.54,84435.0,DOC,2019-05-18 11:00:00
1,Credit,100000.0,conservador,5000.0,00711234511,5981.41,85102.0,Restaurante,2019-10-21 12:00:00
2,Credit,100000.0,conservador,5000.0,00711234511,932.97,99134.0,Supermercado,2019-09-10 13:00:00
3,Credit,100000.0,conservador,5000.0,00711234511,4378.25,97427.0,Serviços,2019-06-17 06:00:00
4,Credit,100000.0,conservador,5000.0,00711234511,537.05,84611.0,Agencia de Viagem,2019-12-19 08:00:00
5,Credit,100000.0,conservador,5000.0,00711234511,4669.56,29794.0,Transferencia,2019-10-20 21:00:00
6,Credit,100000.0,conservador,5000.0,00711234511,651.27,93326.0,Agencia de Viagem,2019-08-09 14:00:00
7,Credit,100000.0,conservador,5000.0,00711234511,9976.76,17863.0,Operadora de Telefone,2019-04-26 09:00:00
8,Credit,100000.0,conservador,5000.0,00711234511,860.61,60442.0,Hospital,2020-01-16 16:00:00
9,Credit,100000.0,conservador,5000.0,00711234511,402.13,71769.0,Supermercado,2020-02-19 20:00:00
10,Credit,100000.0,conservador,5000.0,00711234511,6733.47,58011.0,Pagamento,2019-06-12 07:00:00
11,Credit,100000.0,conservador,5000.0,00711234511,8744.81,93449.0,Hospital,2020-02-16 12:00:00
12,Credit,100000.0,conservador,5000.0,00711234511,5563.18,52407.0,Aluguel,2019-09-05 15:00:00
13,Credit,100000.0,conservador,5000.0,00711234511,9384.98,36937.0,Hospital,2019-03-19 09:00:00
14,Credit,100000.0,conservador,5000.0,00711234511,3375.35,63062.0,Serviços de Streaming,2019-08-05 02:00:00
15,Credit,100000.0,conservador,5000.0,00711234511,7135.33,13089.0,Bar,2019-12-01 19:00:00
16,Credit,100000.0,conservador,5000.0,00711234511,5654.2,65475.0,Supermercado,2019-03-17 23:00:00
17,Credit,100000.0,conservador,5000.0,00711234511,1882.27,63599.0,Serviços,2019-05-12 10:00:00
18,Credit,100000.0,conservador,5000.0,00711234511,4701.79,26354.0,Supermercado,2019-09-19 14:00:00
19,Credit,100000.0,conservador,5000.0,00711234511,6856.02,85253.0,Bar,2019-09-21 05:00:00
20,Credit,100000.0,conservador,5000.0,00711234511,7497.98,44410.0,Transferencia,2019-10-02 22:00:00
21,Credit,100000.0,conservador,5000.0,00711234511,6391.78,49433.0,Transferencia,2019-08-26 00:00:00
22,Credit,100000.0,conservador,5000.0,00711234511,5392.1,49876.0,Mensalidade Academia,2019-02-20 04:00:00
23,Credit,100000.0,conservador,5000.0,00711234511,6312.29,48889.0,Curso,2019-02-24 05:00:00
24,Credit,100000.0,conservador,5000.0,00711234511,762.39,70718.0,Hospital,2019-06-19 05:00:00
25,Credit,100000.0,conservador,5000.0,00711234511,9447.05,63692.0,Boleto,2019-07-25 19:00:00
26,Credit,100000.0,conservador,5000.0,00711234511,8707.54,63422.0,Bar,2019-09-26 07:00:00
27,Credit,100000.0,conservador,5000.0,00711234511,7242.01,48997.0,Transferencia,2020-01-04 11:00:00
28,Credit,100000.0,conservador,5000.0,00711234511,6007.63,69382.0,Transferencia,2019-12-24 21:00:00
29,Credit,100000.0,conservador,5000.0,00711234511,1023.56,58160.0,Aluguel,2019-07-04 02:00:00
30,Credit,100000.0,conservador,5000.0,00711234511,4159.65,30931.0,Petshop,2020-02-04 01:00:00
31,Credit,100000.0,conservador,5000.0,00711234511,7772.33,57948.0,DOC,2019-05-20 22:00:00
32,Credit,100000.0,conservador,5000.0,00711234511,6782.17,24760.0,TED,2019-07-06 21:00:00
33,Credit,100000.0,conservador,5000.0,00711234511,6312.95,66694.0,Serviços de Streaming,2019-03-18 22:00:00
34,Credit,100000.0,conservador,5000.0,00711234511,6417.41,64141.0,Bar,2019-06-05 02:00:00
35,Credit,100000.0,conservador,5000.0,00711234511,7532.79,19744.0,Operadora de Telefone,2019-04-13 12:00:00
36,Credit,100000.0,conservador,5000.0,00711234511,8435.66,84210.0,DOC,2019-11-28 21:00:00
37,Credit,100000.0,conservador,5000.0,00711234511,8336.67,90771.0,Transferencia,2019-11-15 00:00:00
38,Credit,100000.0,conservador,5000.0,00711234511,8936.59,52240.0,Supermercado,2019-11-22 22:00:00
39,Credit,100000.0,conservador,5000.0,00711234511,9413.86,39312.0,Transferencia,2019-09-03 08:00:00
40,Credit,100000.0,conservador,5000.0,00711234511,3837.38,12589.0,Hospital,2020-01-02 20:00:00
41,Credit,100000.0,conservador,5000.0,00711234511,14925.0,37238.0,Farmacia,2019-05-23 19:00:00
42,Credit,100000.0,conservador,5000.0,00711234511,28825.1,56355.0,Aluguel,2019-08-05 16:00:00
43,Credit,100000.0,conservador,5000.0,00711234511,17448.6,93706.0,Curso,2019-09-18 04:00:00
44,Credit,100000.0,conservador,5000.0,00711234511,15167.02,46499.0,Curso,2019-06-14 23:00:00
45,Credit,100000.0,conservador,5000.0,00711234511,16275.53,43492.0,Transferencia,2019-03-30 17:00:00
46,Credit,100000.0,conservador,5000.0,00711234511,23854.57,26905.0,E-commerce,2019-07-03 15:00:00
47,Credit,100000.0,conservador,5000.0,00711234511,25916.23,47777.0,Hospital,2019-02-10 10:00:00
48,Credit,100000.0,conservador,5000.0,00711234511,25673.9,36960.0,Aluguel,2019-03-08 20:00:00
49,Credit,100000.0,conservador,5000.0,00711234511,12823.69,32532.0,Agencia de Viagem,2019-07-05 15:00:00
50,Credit,100000.0,conservador,5000.0,00711234511,22707.61,95941.0,Farmacia,2020-02-20 03:00:00
51,Credit,100000.0,conservador,5000.0,00711234511,12278.79,26162.0,DOC,2019-03-29 18:00:00
52,Credit,100000.0,conservador,5000.0,00711234511,15980.24,96212.0,Petshop,2020-02-20 19:00:00
53,Credit,100000.0,conservador,5000.0,00711234511,14241.38,30780.0,Balada,2019-04-09 05:00:00
54,Credit,100000.0,conservador,5000.0,00711234511,14533.95,46314.0,Boleto,2020-01-11 09:00:00
55,Credit,100000.0,conservador,5000.0,00711234511,24748.69,21289.0,Serviços,2019-09-28 01:00:00
56,Credit,100000.0,conservador,5000.0,00711234511,22487.78,72504.0,Hospital,2019-10-23 20:00:00
57,Credit,100000.0,conservador,5000.0,00711234511,22862.52,99489.0,Petshop,2019-08-22 22:00:00
